Threshold,Locus,Predict Sites,Positive Sites,Negative Sites,Actual Donor Sites,Predict Num,Predict Positive Num,Predict Negative Num,TP,FP,TN,FN
3.0,ACU08131,"[70, 158, 322, 387, 463, 642, 710, 845, 849, 925, 1024, 1255, 1363, 1437, 1603, 1735, 1860, 2025, 2029, 2104, 2179, 2212, 2245, 2350, 2498, 2598, 2637, 2803, 2807, 2840, 2986, 3042, 3336, 3798, 3914, 4038, 4306, 4504, 4512, 5170, 5176, 5313, 5324, 5345]","[642, 1363, 2029, 2803, 3798]","[70, 158, 322, 387, 463, 710, 845, 849, 925, 1024, 1255, 1437, 1603, 1735, 1860, 2025, 2104, 2179, 2212, 2245, 2350, 2498, 2598, 2637, 2807, 2840, 2986, 3042, 3336, 3914, 4038, 4306, 4504, 4512, 5170, 5176, 5313, 5324, 5345]","[642, 1363, 2029, 2803, 3798]",5385,44,5341,5,39,5341,0
3.0,AGGGLINE,"[32, 70, 805, 869, 935, 1466, 1571, 1605, 2325, 2347, 2658, 2697, 2946, 2963, 3120, 3158, 3390, 3457, 3504, 3600, 3673, 3850, 4035, 4094, 4098, 4253, 4309, 4313, 4456, 4651, 4685, 4709, 4720, 4756, 4849, 5175, 5187, 5228, 5259, 5307, 5357, 5585, 5648, 5864, 6262, 6387, 6421, 6780, 6980, 6984, 7054, 7300]","[3158, 3504]","[32, 70, 805, 869, 935, 1466, 1571, 1605, 2325, 2347, 2658, 2697, 2946, 2963, 3120, 3390, 3457, 3600, 3673, 3850, 4035, 4094, 4098, 4253, 4309, 4313, 4456, 4651, 4685, 4709, 4720, 4756, 4849, 5175, 5187, 5228, 5259, 5307, 5357, 5585, 5648, 5864, 6262, 6387, 6421, 6780, 6980, 6984, 7054, 7300]","[3158, 3504]",7222,52,7170,2,50,7170,0
3.0,AGU04852,"[86, 174, 183, 491, 536, 631, 653, 734, 1023, 1104, 1464, 2073, 2117, 2302, 2478, 2624, 2720, 2972, 3022, 3116, 3176, 3402, 3404, 3693, 3701, 3732, 3788, 3877, 3956, 4566, 4701, 4780, 4800, 4809, 4863, 4906, 5252, 5517, 5529, 5533, 5876, 5912, 6224, 6383, 6740, 6883, 7509, 7636, 7669, 7927, 7960, 8085, 8252, 8301, 8349, 8354, 8358, 8362, 8635, 8694, 8817, 8877, 8934, 8961, 9261, 9622, 9856, 10812, 10820, 10961]","[3956, 5517, 5912, 6740]","[86, 174, 183, 491, 536, 631, 653, 734, 1023, 1104, 1464, 2073, 2117, 2302, 2478, 2624, 2720, 2972, 3022, 3116, 3176, 3402, 3404, 3693, 3701, 3732, 3788, 3877, 4566, 4701, 4780, 4800, 4809, 4863, 4906, 5252, 5529, 5533, 5876, 6224, 6383, 6883, 7509, 7636, 7669, 7927, 7960, 8085, 8252, 8301, 8349, 8354, 8358, 8362, 8635, 8694, 8817, 8877, 8934, 8961, 9261, 9622, 9856, 10812, 10820, 10961]","[3956, 5517, 5912, 6740]",10977,70,10907,4,66,10907,0
3.0,ALOEGLOBIM,"[221, 237, 469, 536, 583, 599, 1049, 1170, 1182, 1250, 1297, 1301, 1399, 1455]","[237, 583]","[221, 469, 536, 599, 1049, 1170, 1182, 1250, 1297, 1301, 1399, 1455]","[237, 583]",1684,14,1670,2,12,1670,0
3.0,ALOEGLOBIN,"[221, 237, 469, 536, 583, 599, 1049, 1170, 1182, 1186, 1250, 1297, 1301, 1399, 1455]","[237, 583]","[221, 469, 536, 599, 1049, 1170, 1182, 1186, 1250, 1297, 1301, 1399, 1455]","[237, 583]",1684,15,1669,2,13,1669,0
3.0,ALOPROTP1A,"[59, 166, 170, 186, 267]",[166],"[59, 170, 186, 267]",[166],411,5,406,1,4,406,0
3.0,AMU12024,"[85, 257, 632, 667, 872, 1120, 1583, 1594, 1695, 1864, 1960, 2013, 2126, 2482, 2605, 2685, 3332, 3458, 3606]","[257, 667, 1864, 2126, 2482]","[85, 632, 872, 1120, 1583, 1594, 1695, 1960, 2013, 2605, 2685, 3332, 3458, 3606]","[257, 667, 1864, 2126, 2482]",3645,19,3626,5,14,3626,0
3.0,AMU12025,"[271, 301, 527, 529, 859, 1049, 1080, 1412, 1830, 2010, 2485, 2554, 2654, 2658, 2689, 2705, 2736, 2789, 2902, 3278, 3313, 3343, 3649, 4481]","[1412, 1830, 2654, 2902, 3278]","[271, 301, 527, 529, 859, 1049, 1080, 2010, 2485, 2554, 2658, 2689, 2705, 2736, 2789, 3313, 3343, 3649, 4481]","[1412, 1830, 2654, 2902, 3278]",5376,24,5352,5,19,5352,0
3.0,AOIRHODOPS,"[141, 255, 620, 691, 894, 1115, 1314, 1702, 1749, 1925, 1953, 1969, 2025, 2754, 3012, 4005, 4067, 4071, 4109, 4336, 4385, 4391, 4430, 4479, 4840, 4953, 5116, 5207, 5373, 5426, 5452, 5483, 5494, 5892, 6243, 6372, 6400, 7039, 7056, 7481, 7580, 7600, 7614, 7622, 7630, 7800, 8003, 8156, 8197, 8308, 8837, 9057, 9133, 9304, 9410]","[1702, 4067, 5373, 6243]","[141, 255, 620, 691, 894, 1115, 1314, 1749, 1925, 1953, 1969, 2025, 2754, 3012, 4005, 4071, 4109, 4336, 4385, 4391, 4430, 4479, 4840, 4953, 5116, 5207, 5426, 5452, 5483, 5494, 5892, 6372, 6400, 7039, 7056, 7481, 7580, 7600, 7614, 7622, 7630, 7800, 8003, 8156, 8197, 8308, 8837, 9057, 9133, 9304, 9410]","[1702, 4067, 5373, 6243]",9916,55,9861,4,51,9861,0
3.0,ASPROP2,"[75, 452, 589]",[],"[75, 452, 589]",[325],665,3,662,0,3,661,1
