Threshold,Locus,Predict Sites,Positive Sites,Negative Sites,Actual Donor Sites,Predict Num,Predict Positive Num,Predict Negative Num,TP,FP,TN,FN
10.0,ACU08131,[],[],[],"[642, 1363, 2029, 2803, 3798]",5384,0,5384,0,0,5379,5
10.0,AGGGLINE,[],[],[],"[3158, 3504]",7220,0,7220,0,0,7218,2
10.0,AGU04852,[],[],[],"[3956, 5517, 5912, 6740]",10976,0,10976,0,0,10972,4
10.0,ALOEGLOBIM,[],[],[],"[237, 583]",1683,0,1683,0,0,1681,2
10.0,ALOEGLOBIN,[],[],[],"[237, 583]",1683,0,1683,0,0,1681,2
10.0,ALOPROTP1A,[],[],[],[166],410,0,410,0,0,409,1
10.0,AMU12024,[],[],[],"[257, 667, 1864, 2126, 2482]",3644,0,3644,0,0,3639,5
10.0,AMU12025,[],[],[],"[1412, 1830, 2654, 2902, 3278]",5375,0,5375,0,0,5370,5
10.0,AOIRHODOPS,[],[],[],"[1702, 4067, 5373, 6243]",9915,0,9915,0,0,9911,4
10.0,ASPROP2,[],[],[],[325],664,0,664,0,0,663,1
10.0,ASYRVISP,[],[],[],"[625, 1042, 1335, 1585, 1916]",2221,0,2221,0,0,2216,5
10.0,ATREGLOBIN,[],[],[],"[237, 588]",1691,0,1691,0,0,1689,2
10.0,BABAPOE,[],[],[],"[897, 2847]",4754,0,4754,0,0,4752,2
10.0,BATROX,[],[],[],"[341, 3011, 5035, 6955]",8092,0,8092,0,0,8088,4
10.0,BCHEGLOBIN,[],[],[],"[237, 583]",1697,0,1697,0,0,1695,2
10.0,BOVANPA,[],[],[],"[433, 858]",1761,0,1761,0,0,1759,2
10.0,BOVCOX7AL,[],[],[],"[1540, 2812, 5049]",6848,0,6848,0,0,6845,3
10.0,BOVGAS,[],[],[],[751],1058,0,1058,0,0,1057,1
10.0,BOVIAP,[],[],[],"[1568, 1764, 1994, 2354, 2606, 2999, 3157, 3392, 3667, 3996]",5391,0,5391,0,0,5381,10
10.0,BOVIRBP,[],[],[],"[3174, 5595, 7699]",11785,0,11785,0,0,11782,3
10.0,BOVLHB,[],[],[],"[803, 1272]",1856,0,1856,0,0,1854,2
10.0,BOVLYSOZMA,[],[],[],"[3039, 5771, 8654]",12214,0,12214,0,0,12211,3
10.0,BOVLYSOZMB,[],[],[],"[2673, 4005, 6212]",10204,0,10204,0,0,10201,3
10.0,BOVLYSOZMC,[],[],[],"[905, 2323, 4194]",8043,0,8043,0,0,8040,3
10.0,BOVMYF5A,[],[],[],"[698, 1625]",5211,0,5211,0,0,5209,2
