Threshold,Locus,Predict Sites,Positive Sites,Negative Sites,Actual Donor Sites,Predict Num,Predict Positive Num,Predict Negative Num,TP,FP,TN,FN
3.5,ACU08131,"[322, 463, 642, 710, 845, 1024, 1255, 1363, 1603, 1735, 2029, 2179, 2245, 2350, 2498, 2598, 2803, 2840, 3042, 3336, 3798, 3914, 4038, 4306, 4512, 5170, 5176, 5313, 5324]","[642, 1363, 2029, 2803, 3798]","[322, 463, 710, 845, 1024, 1255, 1603, 1735, 2179, 2245, 2350, 2498, 2598, 2840, 3042, 3336, 3914, 4038, 4306, 4512, 5170, 5176, 5313, 5324]","[642, 1363, 2029, 2803, 3798]",5384,29,5355,5,24,5355,0
3.5,AGGGLINE,"[32, 70, 805, 869, 935, 1571, 2325, 2347, 2658, 2946, 2963, 3120, 3158, 3390, 3457, 3504, 3600, 3850, 4035, 4253, 4309, 4685, 5259, 5585, 5648, 6262, 6387, 6421, 7054]","[3158, 3504]","[32, 70, 805, 869, 935, 1571, 2325, 2347, 2658, 2946, 2963, 3120, 3390, 3457, 3600, 3850, 4035, 4253, 4309, 4685, 5259, 5585, 5648, 6262, 6387, 6421, 7054]","[3158, 3504]",7220,29,7191,2,27,7191,0
3.5,AGU04852,"[86, 183, 491, 536, 631, 653, 734, 1104, 1464, 2073, 2117, 2302, 2478, 2972, 3116, 3176, 3402, 3693, 3788, 3877, 3956, 4566, 4701, 4809, 4863, 4906, 5517, 5529, 5533, 5876, 5912, 6224, 6383, 6740, 7509, 7636, 7927, 7960, 8085, 8252, 8301, 8354, 8358, 8635, 8694, 8817, 8877, 8934, 8961, 9261, 9622, 9856, 10812, 10820, 10961]","[3956, 5517, 5912, 6740]","[86, 183, 491, 536, 631, 653, 734, 1104, 1464, 2073, 2117, 2302, 2478, 2972, 3116, 3176, 3402, 3693, 3788, 3877, 4566, 4701, 4809, 4863, 4906, 5529, 5533, 5876, 6224, 6383, 7509, 7636, 7927, 7960, 8085, 8252, 8301, 8354, 8358, 8635, 8694, 8817, 8877, 8934, 8961, 9261, 9622, 9856, 10812, 10820, 10961]","[3956, 5517, 5912, 6740]",10976,55,10921,4,51,10921,0
3.5,ALOEGLOBIM,"[221, 237, 469, 583, 599, 1049, 1170, 1182, 1250, 1297]","[237, 583]","[221, 469, 599, 1049, 1170, 1182, 1250, 1297]","[237, 583]",1683,10,1673,2,8,1673,0
3.5,ALOEGLOBIN,"[221, 237, 469, 583, 599, 1049, 1170, 1182, 1250, 1297]","[237, 583]","[221, 469, 599, 1049, 1170, 1182, 1250, 1297]","[237, 583]",1683,10,1673,2,8,1673,0
3.5,ALOPROTP1A,"[59, 166, 267]",[166],"[59, 267]",[166],410,3,407,1,2,407,0
3.5,AMU12024,"[257, 632, 667, 872, 1583, 1594, 1695, 1864, 1960, 2013, 2126, 2482, 2605, 2685, 3458, 3606]","[257, 667, 1864, 2126, 2482]","[632, 872, 1583, 1594, 1695, 1960, 2013, 2605, 2685, 3458, 3606]","[257, 667, 1864, 2126, 2482]",3644,16,3628,5,11,3628,0
3.5,AMU12025,"[271, 527, 859, 1080, 1412, 1830, 2010, 2485, 2654, 2689, 2705, 2736, 2789, 2902, 3278, 3313, 3343, 4481]","[1412, 1830, 2654, 2902, 3278]","[271, 527, 859, 1080, 2010, 2485, 2689, 2705, 2736, 2789, 3313, 3343, 4481]","[1412, 1830, 2654, 2902, 3278]",5375,18,5357,5,13,5357,0
3.5,AOIRHODOPS,"[141, 255, 620, 894, 1314, 1702, 1749, 1953, 1969, 2025, 2754, 3012, 4005, 4067, 4336, 4385, 4430, 4479, 4840, 4953, 5116, 5373, 5452, 6243, 6372, 7039, 7056, 7580, 7600, 7622, 7630, 7800, 8003, 8308, 8837, 9057, 9133, 9304]","[1702, 4067, 5373, 6243]","[141, 255, 620, 894, 1314, 1749, 1953, 1969, 2025, 2754, 3012, 4005, 4336, 4385, 4430, 4479, 4840, 4953, 5116, 5452, 6372, 7039, 7056, 7580, 7600, 7622, 7630, 7800, 8003, 8308, 8837, 9057, 9133, 9304]","[1702, 4067, 5373, 6243]",9915,38,9877,4,34,9877,0
3.5,ASPROP2,"[75, 589]",[],"[75, 589]",[325],664,2,662,0,2,661,1
3.5,ASYRVISP,"[99, 260, 625, 634, 656, 1042, 1166, 1305, 1335, 1419, 1585, 1916, 2021]","[625, 1042, 1335, 1585, 1916]","[99, 260, 634, 656, 1166, 1305, 1419, 2021]","[625, 1042, 1335, 1585, 1916]",2221,13,2208,5,8,2208,0
3.5,ATREGLOBIN,"[221, 237, 474, 588, 604, 1187, 1267, 1295, 1314]","[237, 588]","[221, 474, 604, 1187, 1267, 1295, 1314]","[237, 588]",1691,9,1682,2,7,1682,0
3.5,BABAPOE,"[33, 60, 198, 267, 481, 550, 897, 1080, 1374, 1702, 1953, 2109, 2262, 2803, 2847, 2881, 3852, 3916, 3978, 3999, 4131]","[897, 2847]","[33, 60, 198, 267, 481, 550, 1080, 1374, 1702, 1953, 2109, 2262, 2803, 2881, 3852, 3916, 3978, 3999, 4131]","[897, 2847]",4754,21,4733,2,19,4733,0
3.5,BATROX,"[222, 341, 875, 1839, 2032, 2078, 2428, 2446, 2890, 2959, 3011, 3556, 3593, 3849, 3924, 3967, 3975, 4110, 4276, 4495, 4705, 4836, 5035, 5085, 5123, 5790, 6449, 6789, 6874, 6955, 7378, 7567, 7655, 7992]","[341, 3011, 5035, 6955]","[222, 875, 1839, 2032, 2078, 2428, 2446, 2890, 2959, 3556, 3593, 3849, 3924, 3967, 3975, 4110, 4276, 4495, 4705, 4836, 5085, 5123, 5790, 6449, 6789, 6874, 7378, 7567, 7655, 7992]","[341, 3011, 5035, 6955]",8092,34,8058,4,30,8058,0
3.5,BCHEGLOBIN,"[221, 237, 469, 583, 599, 1060, 1184, 1196, 1264, 1311]","[237, 583]","[221, 469, 599, 1060, 1184, 1196, 1264, 1311]","[237, 583]",1697,10,1687,2,8,1687,0
3.5,BOVANPA,"[334, 433, 858]","[433, 858]",[334],"[433, 858]",1761,3,1758,2,1,1758,0
